Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
1626,4,2,Furnished,Perambur,0,17787803,Ready_to_move,Resale,Apartment,10939.61
1959,1,2,Furnished,T. Nagar,1,15423442,Under_Construction,Resale,Independent_House,7873.12
1360,1,2,Semi-Furnished,Guindy,1,5599865,Under_Construction,New_Property,Independent_House,4117.55
1794,1,3,Furnished,T. Nagar,0,15456244,Under_Construction,New_Property,Independent_House,8615.52
1630,3,2,Semi-Furnished,Guindy,2,19816674,Under_Construction,Resale,Apartment,12157.47
1595,1,3,Furnished,Adyar,1,5772811,Under_Construction,Resale,Builder_Floor,3619.32
1544,1,1,Furnished,Kodambakkam,1,4317336,Under_Construction,Resale,Apartment,2796.2
621,1,3,Unfurnished,Adyar,1,4763642,Under_Construction,Resale,Builder_Floor,7670.92
966,3,2,Unfurnished,Mylapore,0,9689684,Under_Construction,New_Property,Independent_House,10030.73
1738,1,1,Furnished,Sholinganallur,1,12198499,Under_Construction,Resale,Independent_House,7018.7
830,4,1,Furnished,Perambur,2,5788340,Under_Construction,New_Property,Apartment,6973.9
1982,1,1,Unfurnished,Guindy,1,12808470,Under_Construction,Resale,Apartment,6462.4
587,4,3,Unfurnished,Perambur,1,2197775,Ready_to_move,Resale,Builder_Floor,3744.08
1896,4,2,Unfurnished,Guindy,2,4386488,Ready_to_move,Resale,Builder_Floor,2313.55
1623,4,1,Semi-Furnished,Velachery,1,19564710,Under_Construction,Resale,Apartment,12054.66
1371,3,1,Furnished,T. Nagar,0,7332660,Under_Construction,Resale,Builder_Floor,5348.4
630,3,1,Unfurnished,Mylapore,0,11589801,Ready_to_move,New_Property,Apartment,18396.51
1832,3,3,Furnished,Kodambakkam,0,14331942,Under_Construction,New_Property,Builder_Floor,7823.11
1269,1,3,Semi-Furnished,Guindy,2,18079245,Ready_to_move,Resale,Apartment,14246.84
843,4,2,Semi-Furnished,Perambur,1,13398366,Ready_to_move,Resale,Apartment,15893.67
1937,3,3,Unfurnished,Mylapore,0,7083769,Ready_to_move,New_Property,Apartment,3657.08
1305,3,1,Semi-Furnished,Anna Nagar,2,19310852,Ready_to_move,Resale,Builder_Floor,14797.59
885,1,2,Furnished,Anna Nagar,1,13426978,Ready_to_move,Resale,Builder_Floor,15171.73
1715,3,1,Unfurnished,Adyar,2,13624266,Under_Construction,New_Property,Builder_Floor,7944.18
1455,1,1,Furnished,Kodambakkam,0,12164811,Ready_to_move,Resale,Apartment,8360.69
776,2,3,Furnished,Velachery,0,4276360,Under_Construction,Resale,Builder_Floor,5510.77
1684,3,2,Semi-Furnished,Perambur,0,17883337,Under_Construction,New_Property,Builder_Floor,10619.56
959,2,3,Semi-Furnished,T. Nagar,2,6408249,Ready_to_move,New_Property,Apartment,6682.22
1837,1,3,Semi-Furnished,T. Nagar,2,6426219,Ready_to_move,New_Property,Independent_House,3498.21
521,4,2,Semi-Furnished,Perambur,0,12923237,Under_Construction,Resale,Apartment,24804.68
752,3,1,Semi-Furnished,Sholinganallur,2,18434343,Ready_to_move,New_Property,Builder_Floor,24513.75
1247,1,1,Unfurnished,Velachery,0,12524841,Ready_to_move,New_Property,Apartment,10043.98
1356,4,2,Furnished,Mylapore,0,8646705,Under_Construction,New_Property,Independent_House,6376.63
974,4,1,Furnished,Guindy,1,7462810,Under_Construction,New_Property,Apartment,7662.02
1582,2,2,Furnished,Sholinganallur,2,15388409,Ready_to_move,New_Property,Builder_Floor,9727.19
1010,1,2,Furnished,Guindy,0,15846020,Under_Construction,New_Property,Independent_House,15689.13
1999,4,3,Semi-Furnished,Guindy,0,11726290,Ready_to_move,Resale,Builder_Floor,5866.08
1199,3,2,Furnished,Sholinganallur,2,15659783,Ready_to_move,Resale,Independent_House,13060.7
1475,3,3,Unfurnished,Adyar,1,18164204,Ready_to_move,New_Property,Independent_House,12314.71
689,2,1,Unfurnished,Anna Nagar,1,16837568,Under_Construction,New_Property,Apartment,24437.69
1457,4,1,Furnished,Guindy,0,3286643,Under_Construction,New_Property,Apartment,2255.76
1186,1,1,Furnished,Sholinganallur,2,11922192,Under_Construction,Resale,Builder_Floor,10052.44
1457,3,1,Unfurnished,Sholinganallur,1,10315390,Under_Construction,Resale,Apartment,7079.88
1062,4,3,Unfurnished,Tambaram,2,8200646,Under_Construction,Resale,Apartment,7721.89
1767,4,1,Semi-Furnished,Adyar,2,8983896,Ready_to_move,Resale,Independent_House,5084.26
1331,2,2,Unfurnished,Kodambakkam,0,16509187,Ready_to_move,Resale,Apartment,12403.6
1654,3,2,Semi-Furnished,Tambaram,1,7409861,Ready_to_move,Resale,Independent_House,4479.96
1146,3,2,Semi-Furnished,Tambaram,0,17931836,Ready_to_move,Resale,Independent_House,15647.33
520,1,3,Semi-Furnished,Perambur,1,14831595,Under_Construction,Resale,Independent_House,28522.3
1340,3,1,Semi-Furnished,Anna Nagar,1,17963317,Ready_to_move,Resale,Builder_Floor,13405.46
666,1,1,Semi-Furnished,Sholinganallur,1,10415398,Under_Construction,New_Property,Builder_Floor,15638.74
1797,3,1,Furnished,Anna Nagar,1,12080346,Ready_to_move,New_Property,Builder_Floor,6722.51
887,2,3,Unfurnished,Velachery,1,2448345,Under_Construction,New_Property,Independent_House,2760.25
1100,3,2,Semi-Furnished,Perambur,2,11137682,Under_Construction,New_Property,Builder_Floor,10125.17
815,1,2,Unfurnished,Kodambakkam,0,9827494,Ready_to_move,Resale,Builder_Floor,12058.27
513,1,1,Unfurnished,Anna Nagar,2,3879490,Ready_to_move,Resale,Apartment,7562.36
741,2,2,Semi-Furnished,T. Nagar,1,17814828,Ready_to_move,New_Property,Builder_Floor,24041.6
1276,3,2,Furnished,Guindy,0,17209100,Ready_to_move,Resale,Builder_Floor,13486.76
1869,3,3,Semi-Furnished,Velachery,1,6984445,Under_Construction,New_Property,Independent_House,3737
1064,2,3,Furnished,Adyar,0,8939705,Ready_to_move,Resale,Independent_House,8401.98
1397,3,3,Unfurnished,Kodambakkam,2,9002587,Ready_to_move,New_Property,Independent_House,6444.23
1863,3,3,Furnished,Velachery,0,8742471,Under_Construction,Resale,Independent_House,4692.68
591,1,1,Furnished,Guindy,0,3454908,Ready_to_move,Resale,Independent_House,5845.87
1890,3,3,Furnished,Perambur,0,12642302,Ready_to_move,New_Property,Independent_House,6689.05
1455,3,2,Unfurnished,Guindy,0,5319144,Ready_to_move,Resale,Builder_Floor,3655.77
1978,2,1,Unfurnished,Tambaram,0,10693670,Ready_to_move,New_Property,Independent_House,5406.3
1951,2,2,Furnished,Guindy,1,18567296,Ready_to_move,New_Property,Independent_House,9516.81
1008,4,2,Furnished,Tambaram,0,7806466,Under_Construction,New_Property,Apartment,7744.51
1275,1,2,Semi-Furnished,Perambur,0,15449563,Ready_to_move,New_Property,Builder_Floor,12117.3
534,3,3,Furnished,Mylapore,2,7304509,Ready_to_move,Resale,Builder_Floor,13678.86
705,3,3,Semi-Furnished,Tambaram,0,9668216,Ready_to_move,Resale,Builder_Floor,13713.78
1604,4,1,Furnished,Adyar,2,6949499,Ready_to_move,Resale,Independent_House,4332.61
1911,3,1,Semi-Furnished,Guindy,1,8062903,Ready_to_move,New_Property,Independent_House,4219.21
1525,1,3,Unfurnished,Guindy,0,11814149,Under_Construction,Resale,Independent_House,7746.98
1521,4,2,Furnished,Adyar,2,7747372,Ready_to_move,New_Property,Apartment,5093.6
1913,1,1,Furnished,T. Nagar,2,6848287,Under_Construction,Resale,Independent_House,3579.87
1065,4,3,Furnished,Sholinganallur,1,7658796,Under_Construction,Resale,Apartment,7191.36
1629,4,3,Furnished,Mylapore,0,19598268,Ready_to_move,Resale,Builder_Floor,12030.86
1202,2,3,Semi-Furnished,Kodambakkam,0,12195758,Ready_to_move,New_Property,Independent_House,10146.22
901,1,2,Furnished,Tambaram,2,4225300,Ready_to_move,Resale,Apartment,4689.57
1229,3,3,Unfurnished,Adyar,0,13889876,Ready_to_move,Resale,Apartment,11301.77
661,3,3,Unfurnished,Perambur,2,5338442,Under_Construction,New_Property,Independent_House,8076.31
701,1,3,Furnished,Tambaram,0,16963940,Ready_to_move,Resale,Builder_Floor,24199.63
1495,3,3,Unfurnished,Sholinganallur,2,14842659,Ready_to_move,New_Property,Builder_Floor,9928.2
769,3,1,Furnished,Perambur,0,2423570,Ready_to_move,Resale,Builder_Floor,3151.59
1315,1,1,Furnished,Velachery,1,4373139,Ready_to_move,New_Property,Apartment,3325.58
1794,4,3,Unfurnished,Guindy,0,11246766,Ready_to_move,New_Property,Apartment,6269.1
955,1,2,Furnished,Velachery,0,3873421,Ready_to_move,Resale,Apartment,4055.94
1985,4,1,Unfurnished,Tambaram,1,8081950,Under_Construction,New_Property,Apartment,4071.51
1775,3,3,Semi-Furnished,Sholinganallur,0,17650304,Under_Construction,New_Property,Builder_Floor,9943.83
1516,3,1,Furnished,Mylapore,1,12986868,Ready_to_move,New_Property,Independent_House,8566.54
795,3,1,Semi-Furnished,Tambaram,0,8925877,Ready_to_move,New_Property,Apartment,11227.52
1219,2,2,Unfurnished,Adyar,2,7967106,Ready_to_move,New_Property,Apartment,6535.77
837,4,3,Semi-Furnished,Anna Nagar,2,13684495,Under_Construction,New_Property,Builder_Floor,16349.46
1378,2,3,Semi-Furnished,Tambaram,0,13706838,Ready_to_move,Resale,Independent_House,9946.91
1576,2,2,Unfurnished,Guindy,0,7118922,Under_Construction,New_Property,Independent_House,4517.08
1291,1,2,Semi-Furnished,Guindy,0,15642511,Ready_to_move,New_Property,Builder_Floor,12116.58
716,2,3,Semi-Furnished,Tambaram,2,18736613,Ready_to_move,Resale,Builder_Floor,26168.45
1263,1,3,Unfurnished,Perambur,0,12873803,Ready_to_move,Resale,Independent_House,10193.03
687,1,2,Semi-Furnished,Anna Nagar,2,14649115,Ready_to_move,Resale,Apartment,21323.31
